drug_id,drug_name,hospital_code,prescription_volume,date
D001,아목시실린 250mg,H001,1280,2025-03
D001,아목시실린 250mg,H002,820,2025-03
D002,메트포르민 500mg,H001,3500,2025-03
D002,메트포르민 500mg,H003,2050,2025-03
D003,아토르바스타틴 10mg,H001,1620,2025-03
D003,아토르바스타틴 10mg,H002,1240,2025-03
D004,오메프라졸 20mg,H002,780,2025-03
D004,오메프라졸 20mg,H003,590,2025-03
D005,세티리진 10mg,H001,1350,2025-03
D005,세티리진 10mg,H003,1180,2025-03
D006,암로디핀 5mg,H001,2250,2025-03
D006,암로디핀 5mg,H002,1820,2025-03
D007,레보티록신 50mcg,H001,90,2025-03
D007,레보티록신 50mcg,H002,410,2025-03
D008,로사르탄 50mg,H001,1720,2025-03
D008,로사르탄 50mg,H003,1290,2025-03
D009,클로나제팜 0.5mg,H002,330,2025-03
D010,독시사이클린 100mg,H001,38,2025-03
D010,독시사이클린 100mg,H002,175,2025-03
D011,살메테롤 25mcg,H001,880,2025-03
D012,에제티미브 10mg,H003,570,2025-03
D013,리나글립틴 5mg,H001,430,2025-03
D013,리나글립틴 5mg,H002,290,2025-03
